-------------------------------------------------------------
|    x    |        u(z) РК4        |        f(z) РК4        |
| 0.23203 |     -2.725794e+05      |      4.636114e+15      |
| 0.23242 |     -2.854628e+05      |      4.855386e+15      |
| 0.23281 |     -2.989549e+05      |      5.085023e+15      |
| 0.23320 |     -3.130844e+05      |      5.325517e+15      |
| 0.23359 |     -3.278815e+05      |      5.577379e+15      |
| 0.23398 |     -3.433775e+05      |      5.841148e+15      |
| 0.23438 |     -3.596057e+05      |      6.117385e+15      |
| 0.23477 |     -3.766005e+05      |      6.406679e+15      |
| 0.23516 |     -3.943981e+05      |      6.709647e+15      |
| 0.23555 |     -4.130364e+05      |      7.026935e+15      |
| 0.23594 |     -4.325551e+05      |      7.359220e+15      |
| 0.23633 |     -4.529957e+05      |      7.707210e+15      |
| 0.23672 |     -4.744019e+05      |      8.071646e+15      |
| 0.23711 |     -4.968191e+05      |      8.453306e+15      |
| 0.23750 |     -5.202951e+05      |      8.853002e+15      |
| 0.23789 |     -5.448798e+05      |      9.271587e+15      |
