Максимальный шаг, при которых РК2 и РK4 совпадают h = 1.869159e-03          
Число узлов n = 535 при данном h
-------------------------------------------------------------
|    x    |        u(z) РК2        |        u(z) РК4        |
| 0.19813 |      3.838442e-07      |      3.838442e-07      |
| 0.20000 |      3.836893e-07      |      3.836893e-07      |
| 0.20187 |      3.835328e-07      |      3.835329e-07      |
| 0.20374 |      3.833750e-07      |      3.833750e-07      |
| 0.20561 |      3.832158e-07      |      3.832158e-07      |
| 0.20748 |      3.830552e-07      |      3.830552e-07      |
| 0.20935 |      3.828931e-07      |      3.828931e-07      |
| 0.21121 |      3.827296e-07      |      3.827297e-07      |
| 0.21308 |      3.825648e-07      |      3.825648e-07      |
| 0.21495 |      3.823985e-07      |      3.823985e-07      |
| 0.21682 |      3.822309e-07      |      3.822309e-07      |
| 0.21869 |      3.820618e-07      |      3.820618e-07      |
| 0.22056 |      3.818913e-07      |      3.818913e-07      |
| 0.22243 |      3.817195e-07      |      3.817195e-07      |
| 0.22430 |      3.815462e-07      |      3.815463e-07      |
| 0.22617 |      3.813716e-07      |      3.813716e-07      |
| 0.22804 |      3.811956e-07      |      3.811956e-07      |
| 0.22991 |      3.810182e-07      |      3.810182e-07      |
| 0.23178 |      3.808394e-07      |      3.808395e-07      |
| 0.23364 |      3.806593e-07      |      3.806593e-07      |
| 0.23551 |      3.804778e-07      |      3.804778e-07      |
| 0.23738 |      3.802949e-07      |      3.802949e-07      |
| 0.23925 |      3.801106e-07      |      3.801106e-07      |
| 0.24112 |      3.799250e-07      |      3.799250e-07      |
| 0.24299 |      3.797380e-07      |      3.797380e-07      |
| 0.24486 |      3.795497e-07      |      3.795497e-07      |
| 0.24673 |      3.793600e-07      |      3.793600e-07      |
| 0.24860 |      3.791690e-07      |      3.791690e-07      |
| 0.25047 |      3.789766e-07      |      3.789766e-07      |
| 0.25234 |      3.787829e-07      |      3.787829e-07      |
| 0.25421 |      3.785878e-07      |      3.785878e-07      |
| 0.25607 |      3.783914e-07      |      3.783914e-07      |
| 0.25794 |      3.781937e-07      |      3.781937e-07      |
| 0.25981 |      3.779946e-07      |      3.779946e-07      |
| 0.26168 |      3.777942e-07      |      3.777942e-07      |
| 0.26355 |      3.775925e-07      |      3.775925e-07      |
| 0.26542 |      3.773895e-07      |      3.773895e-07      |
| 0.26729 |      3.771852e-07      |      3.771852e-07      |
| 0.26916 |      3.769796e-07      |      3.769796e-07      |
| 0.27103 |      3.767726e-07      |      3.767727e-07      |
| 0.27290 |      3.765644e-07      |      3.765644e-07      |
| 0.27477 |      3.763549e-07      |      3.763549e-07      |
| 0.27664 |      3.761441e-07      |      3.761441e-07      |
| 0.27850 |      3.759320e-07      |      3.759320e-07      |
| 0.28037 |      3.757187e-07      |      3.757187e-07      |
| 0.28224 |      3.755040e-07      |      3.755040e-07      |
| 0.28411 |      3.752881e-07      |      3.752882e-07      |
| 0.28598 |      3.750710e-07      |      3.750710e-07      |
| 0.28785 |      3.748526e-07      |      3.748526e-07      |
| 0.28972 |      3.746329e-07      |      3.746329e-07      |
| 0.29159 |      3.744120e-07      |      3.744120e-07      |
| 0.29346 |      3.741899e-07      |      3.741899e-07      |
| 0.29533 |      3.739665e-07      |      3.739665e-07      |
| 0.29720 |      3.737419e-07      |      3.737419e-07      |
| 0.29907 |      3.735161e-07      |      3.735161e-07      |
| 0.30093 |      3.732890e-07      |      3.732891e-07      |
| 0.30280 |      3.730608e-07      |      3.730608e-07      |
| 0.30467 |      3.728314e-07      |      3.728314e-07      |
| 0.30654 |      3.726007e-07      |      3.726008e-07      |
| 0.30841 |      3.723689e-07      |      3.723689e-07      |
| 0.31028 |      3.721359e-07      |      3.721359e-07      |
| 0.31215 |      3.719017e-07      |      3.719018e-07      |
| 0.31402 |      3.716664e-07      |      3.716664e-07      |
| 0.31589 |      3.714299e-07      |      3.714299e-07      |
| 0.31776 |      3.711922e-07      |      3.711923e-07      |
| 0.31963 |      3.709534e-07      |      3.709535e-07      |
| 0.32150 |      3.707135e-07      |      3.707135e-07      |
| 0.32336 |      3.704724e-07      |      3.704725e-07      |
| 0.32523 |      3.702302e-07      |      3.702303e-07      |
| 0.32710 |      3.699869e-07      |      3.699870e-07      |
| 0.32897 |      3.697425e-07      |      3.697426e-07      |
| 0.33084 |      3.694970e-07      |      3.694971e-07      |
| 0.33271 |      3.692504e-07      |      3.692505e-07      |
| 0.33458 |      3.690027e-07      |      3.690028e-07      |
| 0.33645 |      3.687540e-07      |      3.687540e-07      |
| 0.33832 |      3.685042e-07      |      3.685042e-07      |
| 0.34019 |      3.682533e-07      |      3.682533e-07      |
| 0.34206 |      3.680014e-07      |      3.680014e-07      |
| 0.34393 |      3.677484e-07      |      3.677484e-07      |
| 0.34579 |      3.674944e-07      |      3.674944e-07      |
| 0.34766 |      3.672394e-07      |      3.672394e-07      |
| 0.34953 |      3.669834e-07      |      3.669834e-07      |
| 0.35140 |      3.667263e-07      |      3.667264e-07      |
| 0.35327 |      3.664683e-07      |      3.664684e-07      |
| 0.35514 |      3.662093e-07      |      3.662094e-07      |
| 0.35701 |      3.659494e-07      |      3.659494e-07      |
| 0.35888 |      3.656884e-07      |      3.656885e-07      |
| 0.36075 |      3.654265e-07      |      3.654266e-07      |
| 0.36262 |      3.651637e-07      |      3.651638e-07      |
| 0.36449 |      3.649000e-07      |      3.649000e-07      |
| 0.36636 |      3.646353e-07      |      3.646353e-07      |
| 0.36822 |      3.643697e-07      |      3.643698e-07      |
| 0.37009 |      3.641032e-07      |      3.641033e-07      |
| 0.37196 |      3.638358e-07      |      3.638359e-07      |
| 0.37383 |      3.635676e-07      |      3.635676e-07      |
| 0.37570 |      3.632985e-07      |      3.632985e-07      |
| 0.37757 |      3.630285e-07      |      3.630286e-07      |
| 0.37944 |      3.627577e-07      |      3.627577e-07      |
| 0.38131 |      3.624860e-07      |      3.624861e-07      |
| 0.38318 |      3.622136e-07      |      3.622136e-07      |
| 0.38505 |      3.619403e-07      |      3.619404e-07      |
| 0.38692 |      3.616662e-07      |      3.616663e-07      |
| 0.38879 |      3.613914e-07      |      3.613914e-07      |
| 0.39065 |      3.611157e-07      |      3.611158e-07      |
| 0.39252 |      3.608393e-07      |      3.608394e-07      |
| 0.39439 |      3.605622e-07      |      3.605623e-07      |
| 0.39626 |      3.602843e-07      |      3.602844e-07      |
| 0.39813 |      3.600058e-07      |      3.600058e-07      |
| 0.40000 |      3.597265e-07      |      3.597265e-07      |
| 0.40187 |      3.594465e-07      |      3.594465e-07      |
| 0.40374 |      3.591658e-07      |      3.591659e-07      |
| 0.40561 |      3.588844e-07      |      3.588845e-07      |
| 0.40748 |      3.586024e-07      |      3.586025e-07      |
| 0.40935 |      3.583198e-07      |      3.583199e-07      |
| 0.41121 |      3.580365e-07      |      3.580366e-07      |
| 0.41308 |      3.577527e-07      |      3.577527e-07      |
| 0.41495 |      3.574682e-07      |      3.574683e-07      |
| 0.41682 |      3.571831e-07      |      3.571832e-07      |
