Вариант коэфф-та k: k1
Число узлов n = 1001
-------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |
| 0.10700 |      3.896992e-07      |      1.237832e+03      |
| 0.10800 |      3.896546e-07      |      1.249510e+03      |
| 0.10900 |      3.896096e-07      |      1.261188e+03      |
| 0.11000 |      3.895641e-07      |      1.272865e+03      |
| 0.11100 |      3.895183e-07      |      1.284542e+03      |
| 0.11200 |      3.894720e-07      |      1.296219e+03      |
| 0.11300 |      3.894253e-07      |      1.307895e+03      |
| 0.11400 |      3.893782e-07      |      1.319571e+03      |
| 0.11500 |      3.893307e-07      |      1.331247e+03      |
| 0.11600 |      3.892827e-07      |      1.342922e+03      |
| 0.11700 |      3.892344e-07      |      1.354597e+03      |
| 0.11800 |      3.891856e-07      |      1.366271e+03      |
| 0.11900 |      3.891364e-07      |      1.377945e+03      |
| 0.12000 |      3.890868e-07      |      1.389618e+03      |
| 0.12100 |      3.890367e-07      |      1.401291e+03      |
| 0.12200 |      3.889863e-07      |      1.412963e+03      |
| 0.12300 |      3.889354e-07      |      1.424635e+03      |
| 0.12400 |      3.888841e-07      |      1.436306e+03      |
| 0.12500 |      3.888324e-07      |      1.447976e+03      |
| 0.12600 |      3.887803e-07      |      1.459646e+03      |
| 0.12700 |      3.887277e-07      |      1.471316e+03      |
| 0.12800 |      3.886748e-07      |      1.482985e+03      |
| 0.12900 |      3.886214e-07      |      1.494653e+03      |
| 0.13000 |      3.885676e-07      |      1.506320e+03      |
| 0.13100 |      3.885134e-07      |      1.517987e+03      |
| 0.13200 |      3.884588e-07      |      1.529653e+03      |
| 0.13300 |      3.884037e-07      |      1.541318e+03      |
| 0.13400 |      3.883483e-07      |      1.552982e+03      |
| 0.13500 |      3.882924e-07      |      1.564646e+03      |
| 0.13600 |      3.882361e-07      |      1.576309e+03      |
| 0.13700 |      3.881794e-07      |      1.587970e+03      |
| 0.13800 |      3.881223e-07      |      1.599631e+03      |
| 0.13900 |      3.880647e-07      |      1.611292e+03      |
| 0.14000 |      3.880068e-07      |      1.622951e+03      |
| 0.14100 |      3.879484e-07      |      1.634609e+03      |
| 0.14200 |      3.878896e-07      |      1.646266e+03      |
| 0.14300 |      3.878304e-07      |      1.657922e+03      |
| 0.14400 |      3.877708e-07      |      1.669577e+03      |
| 0.14500 |      3.877107e-07      |      1.681232e+03      |
| 0.14600 |      3.876503e-07      |      1.692884e+03      |
| 0.14700 |      3.875894e-07      |      1.704536e+03      |
| 0.14800 |      3.875281e-07      |      1.716187e+03      |
| 0.14900 |      3.874664e-07      |      1.727836e+03      |
| 0.15000 |      3.874043e-07      |      1.739485e+03      |
| 0.15100 |      3.873417e-07      |      1.751132e+03      |
| 0.15200 |      3.872788e-07      |      1.762777e+03      |
| 0.15300 |      3.872154e-07      |      1.774422e+03      |
| 0.15400 |      3.871517e-07      |      1.786065e+03      |
| 0.15500 |      3.870875e-07      |      1.797706e+03      |
| 0.15600 |      3.870228e-07      |      1.809346e+03      |
| 0.15700 |      3.869578e-07      |      1.820985e+03      |
| 0.15800 |      3.868924e-07      |      1.832622e+03      |
| 0.15900 |      3.868265e-07      |      1.844258e+03      |
| 0.16000 |      3.867603e-07      |      1.855892e+03      |
| 0.16100 |      3.866936e-07      |      1.867524e+03      |
| 0.16200 |      3.866265e-07      |      1.879155e+03      |
| 0.16300 |      3.865590e-07      |      1.890784e+03      |
| 0.16400 |      3.864911e-07      |      1.902412e+03      |
| 0.16500 |      3.864227e-07      |      1.914037e+03      |
| 0.16600 |      3.863540e-07      |      1.925661e+03      |
| 0.16700 |      3.862848e-07      |      1.937283e+03      |
| 0.16800 |      3.862152e-07      |      1.948903e+03      |
| 0.16900 |      3.861452e-07      |      1.960522e+03      |
| 0.17000 |      3.860748e-07      |      1.972138e+03      |
| 0.17100 |      3.860040e-07      |      1.983752e+03      |
| 0.17200 |      3.859328e-07      |      1.995364e+03      |
| 0.17300 |      3.858612e-07      |      2.006974e+03      |
| 0.17400 |      3.857891e-07      |      2.018582e+03      |
| 0.17500 |      3.857167e-07      |      2.030188e+03      |
| 0.17600 |      3.856438e-07      |      2.041792e+03      |
| 0.17700 |      3.855705e-07      |      2.053393e+03      |
| 0.17800 |      3.854968e-07      |      2.064992e+03      |
| 0.17900 |      3.854227e-07      |      2.076589e+03      |
| 0.18000 |      3.853482e-07      |      2.088183e+03      |
| 0.18100 |      3.852732e-07      |      2.099775e+03      |
| 0.18200 |      3.851979e-07      |      2.111364e+03      |
| 0.18300 |      3.851222e-07      |      2.122951e+03      |
| 0.18400 |      3.850460e-07      |      2.134535e+03      |
| 0.18500 |      3.849694e-07      |      2.146116e+03      |
| 0.18600 |      3.848925e-07      |      2.157695e+03      |
| 0.18700 |      3.848151e-07      |      2.169271e+03      |
| 0.18800 |      3.847373e-07      |      2.180844e+03      |
| 0.18900 |      3.846591e-07      |      2.192414e+03      |
| 0.19000 |      3.845804e-07      |      2.203982e+03      |
