Вариант коэфф-та k: k1
Число узлов n = 1001
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
| 0.07900 |      3.793665e-07      |      9.273662e+02      |      9.040345e+02      |
| 0.08000 |      3.793331e-07      |      9.391079e+02      |      9.391079e+02      |
| 0.08100 |      3.792992e-07      |      9.508495e+02      |      9.275140e+02      |
| 0.08200 |      3.792649e-07      |      9.625912e+02      |      9.625912e+02      |
| 0.08300 |      3.792301e-07      |      9.743328e+02      |      9.509937e+02      |
| 0.08400 |      3.791950e-07      |      9.860743e+02      |      9.860744e+02      |
| 0.08500 |      3.791594e-07      |      9.978159e+02      |      9.744735e+02      |
| 0.08600 |      3.791234e-07      |      1.009557e+03      |      1.009557e+03      |
| 0.08700 |      3.790869e-07      |      1.021299e+03      |      9.979533e+02      |
| 0.08800 |      3.790501e-07      |      1.033040e+03      |      1.033040e+03      |
| 0.08900 |      3.790128e-07      |      1.044781e+03      |      1.021433e+03      |
| 0.09000 |      3.789752e-07      |      1.056523e+03      |      1.056523e+03      |
| 0.09100 |      3.789370e-07      |      1.068264e+03      |      1.044913e+03      |
| 0.09200 |      3.788985e-07      |      1.080005e+03      |      1.080005e+03      |
| 0.09300 |      3.788596e-07      |      1.091746e+03      |      1.068392e+03      |
| 0.09400 |      3.788202e-07      |      1.103487e+03      |      1.103487e+03      |
| 0.09500 |      3.787804e-07      |      1.115227e+03      |      1.091871e+03      |
| 0.09600 |      3.787402e-07      |      1.126968e+03      |      1.126968e+03      |
| 0.09700 |      3.786996e-07      |      1.138708e+03      |      1.115350e+03      |
| 0.09800 |      3.786585e-07      |      1.150448e+03      |      1.150449e+03      |
| 0.09900 |      3.786170e-07      |      1.162188e+03      |      1.138828e+03      |
| 0.10000 |      3.785752e-07      |      1.173928e+03      |      1.173928e+03      |
| 0.10100 |      3.785328e-07      |      1.185668e+03      |      1.162305e+03      |
| 0.10200 |      3.784901e-07      |      1.197407e+03      |      1.197407e+03      |
| 0.10300 |      3.784469e-07      |      1.209147e+03      |      1.185782e+03      |
| 0.10400 |      3.784034e-07      |      1.220885e+03      |      1.220886e+03      |
| 0.10500 |      3.783594e-07      |      1.232624e+03      |      1.209258e+03      |
| 0.10600 |      3.783150e-07      |      1.244363e+03      |      1.244363e+03      |
| 0.10700 |      3.782701e-07      |      1.256101e+03      |      1.232733e+03      |
| 0.10800 |      3.782249e-07      |      1.267838e+03      |      1.267839e+03      |
