Число узлов n = 201
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
| 0.18000 |      3.860458e-07      |      2.098922e+03      |      2.098943e+03      |
| 0.18500 |      3.856652e-07      |      2.156805e+03      |      2.042214e+03      |
| 0.19000 |      3.852743e-07      |      2.214618e+03      |      2.214643e+03      |
| 0.19500 |      3.848732e-07      |      2.272355e+03      |      2.157857e+03      |
| 0.20000 |      3.844619e-07      |      2.330008e+03      |      2.330036e+03      |
| 0.20500 |      3.840405e-07      |      2.387570e+03      |      2.273206e+03      |
| 0.21000 |      3.836090e-07      |      2.445033e+03      |      2.445065e+03      |
| 0.21500 |      3.831675e-07      |      2.502388e+03      |      2.388203e+03      |
| 0.22000 |      3.827159e-07      |      2.559628e+03      |      2.559666e+03      |
| 0.22500 |      3.822544e-07      |      2.616744e+03      |      2.502785e+03      |
| 0.23000 |      3.817829e-07      |      2.673725e+03      |      2.673769e+03      |
| 0.23500 |      3.813016e-07      |      2.730563e+03      |      2.616880e+03      |
| 0.24000 |      3.808105e-07      |      2.787247e+03      |      2.787296e+03      |
| 0.24500 |      3.803097e-07      |      2.843765e+03      |      2.730412e+03      |
| 0.25000 |      3.797991e-07      |      2.900108e+03      |      2.900164e+03      |
| 0.25500 |      3.792790e-07      |      2.956264e+03      |      2.843298e+03      |
| 0.26000 |      3.787493e-07      |      3.012220e+03      |      3.012283e+03      |
| 0.26500 |      3.782102e-07      |      3.067965e+03      |      2.955447e+03      |
| 0.27000 |      3.776617e-07      |      3.123484e+03      |      3.123554e+03      |
| 0.27500 |      3.771039e-07      |      3.178766e+03      |      3.066762e+03      |
| 0.28000 |      3.765369e-07      |      3.233796e+03      |      3.233874e+03      |
| 0.28500 |      3.759608e-07      |      3.288560e+03      |      3.177139e+03      |
| 0.29000 |      3.753757e-07      |      3.343044e+03      |      3.343130e+03      |
| 0.29500 |      3.747818e-07      |      3.397232e+03      |      3.286467e+03      |
| 0.30000 |      3.741790e-07      |      3.451108e+03      |      3.451204e+03      |
| 0.30500 |      3.735676e-07      |      3.504658e+03      |      3.394626e+03      |
| 0.31000 |      3.729477e-07      |      3.557863e+03      |      3.557968e+03      |
| 0.31500 |      3.723193e-07      |      3.610709e+03      |      3.501492e+03      |
| 0.32000 |      3.716827e-07      |      3.663176e+03      |      3.663291e+03      |
